Timestamp,HeartRate
2020-12-25 00:51:03,79
2020-12-25 00:56:03,78
2020-12-25 01:01:03,79
2020-12-25 01:06:03,79
2020-12-25 01:11:03,77
2020-12-25 01:16:03,78
2020-12-25 01:21:03,77
2020-12-25 01:26:03,73
2020-12-25 01:31:03,79
2020-12-25 01:36:03,75
2020-12-25 01:41:03,81
2020-12-25 01:46:03,82
2020-12-25 01:51:03,89
2020-12-25 01:56:03,84
2020-12-25 02:01:03,78
2020-12-25 02:06:03,78
2020-12-25 02:11:03,75
2020-12-25 02:16:03,80
2020-12-25 02:21:03,81
2020-12-25 02:26:03,77
2020-12-25 02:31:03,77
2020-12-25 02:36:03,77
2020-12-25 02:41:03,77
2020-12-25 02:46:03,75
2020-12-25 02:51:03,74
2020-12-25 02:56:03,74
2020-12-25 03:01:03,75
2020-12-25 03:06:03,74
2020-12-25 03:11:03,76
2020-12-25 03:16:03,77
2020-12-25 03:21:03,75
2020-12-25 03:26:03,76
2020-12-25 03:31:03,72
2020-12-25 03:36:03,72
2020-12-25 03:41:03,72
2020-12-25 03:46:03,73
2020-12-25 03:51:03,74
2020-12-25 03:56:03,76
2020-12-25 04:01:03,75
2020-12-25 04:06:03,75
2020-12-25 04:26:03,69
2020-12-25 04:31:03,70
2020-12-25 04:36:03,67
2020-12-25 04:41:03,69
2020-12-25 04:46:03,69
2020-12-25 04:51:03,70
2020-12-25 04:56:03,69
2020-12-25 05:01:03,71
2020-12-25 05:06:03,70
2020-12-25 05:11:03,70
2020-12-25 05:16:03,70
2020-12-25 05:21:03,70
2020-12-25 05:26:03,70
2020-12-25 05:31:03,70
2020-12-25 05:36:03,69
2020-12-25 05:41:03,70
2020-12-25 05:46:03,69
2020-12-25 05:56:03,69
2020-12-25 06:01:03,64
2020-12-25 06:06:03,64
2020-12-25 06:11:03,63
2020-12-25 06:16:03,63
2020-12-25 06:21:03,62
2020-12-25 06:31:03,61
2020-12-25 06:36:03,61
2020-12-25 06:41:03,63
2020-12-25 06:46:03,62
2020-12-25 06:51:03,62
2020-12-25 07:01:03,62
2020-12-25 07:06:03,62
2020-12-25 07:11:03,61
2020-12-25 07:16:03,61
2020-12-25 07:21:03,61
2020-12-25 07:26:03,62
2020-12-25 07:31:03,64
2020-12-25 07:36:03,63
2020-12-25 07:41:03,68
2020-12-25 07:46:03,66
2020-12-25 07:51:03,67
2020-12-25 07:56:03,64
2020-12-25 08:01:03,63
2020-12-25 08:06:03,62
2020-12-25 08:11:03,63
2020-12-25 08:16:03,65
2020-12-25 08:21:03,68
2020-12-25 08:26:03,63
2020-12-25 08:31:03,62
2020-12-25 08:36:03,62
2020-12-25 08:41:03,70
2020-12-25 08:46:03,70
2020-12-25 23:46:08,78
2020-12-25 23:51:08,79
2020-12-25 23:56:08,77
