Timestamp,HeartRate
2020-12-14 00:13:38,74
2020-12-14 00:18:38,71
2020-12-14 00:23:38,75
2020-12-14 00:28:38,70
2020-12-14 00:33:38,71
2020-12-14 00:38:38,73
2020-12-14 00:43:38,68
2020-12-14 00:48:38,66
2020-12-14 00:53:38,65
2020-12-14 00:58:38,68
2020-12-14 01:03:38,70
2020-12-14 01:08:38,68
2020-12-14 01:13:38,65
2020-12-14 01:18:38,67
2020-12-14 01:23:38,67
2020-12-14 01:28:38,67
2020-12-14 01:33:38,68
2020-12-14 01:38:38,68
2020-12-14 01:43:38,69
2020-12-14 01:48:38,71
2020-12-14 01:53:38,68
2020-12-14 01:58:38,65
2020-12-14 02:08:38,66
2020-12-14 02:13:38,64
2020-12-14 02:18:38,63
2020-12-14 02:23:38,64
2020-12-14 02:28:38,64
2020-12-14 02:33:38,63
2020-12-14 02:38:38,62
2020-12-14 02:43:38,64
2020-12-14 02:48:38,60
2020-12-14 02:53:38,61
2020-12-14 02:58:38,61
2020-12-14 03:03:38,59
2020-12-14 03:08:38,62
2020-12-14 03:23:38,63
2020-12-14 03:28:38,61
2020-12-14 03:33:38,60
2020-12-14 03:38:38,61
2020-12-14 03:43:38,60
2020-12-14 03:48:38,61
2020-12-14 03:58:38,61
2020-12-14 04:03:38,60
2020-12-14 04:08:38,60
2020-12-14 04:13:38,62
2020-12-14 04:18:38,63
2020-12-14 04:23:38,61
2020-12-14 04:28:38,61
2020-12-14 04:33:38,60
2020-12-14 04:38:38,59
2020-12-14 04:43:38,60
2020-12-14 04:48:38,58
2020-12-14 04:53:38,61
2020-12-14 04:58:38,61
2020-12-14 05:03:38,60
2020-12-14 05:08:38,64
2020-12-14 05:13:38,63
2020-12-14 05:18:38,62
2020-12-14 05:23:38,61
2020-12-14 05:28:38,61
2020-12-14 05:33:38,61
2020-12-14 05:38:38,62
2020-12-14 05:43:38,63
2020-12-14 05:48:38,63
2020-12-14 05:53:38,63
2020-12-14 05:58:38,61
2020-12-14 06:03:38,61
2020-12-14 06:08:38,62
2020-12-14 06:13:38,61
2020-12-14 06:18:38,62
2020-12-14 06:23:38,62
2020-12-14 06:28:38,61
2020-12-14 06:33:38,62
2020-12-14 06:38:38,63
2020-12-14 06:43:38,63
2020-12-14 06:48:38,61
2020-12-14 06:53:38,61
2020-12-14 06:58:38,59
2020-12-14 07:03:38,62
2020-12-14 07:08:38,60
2020-12-14 07:13:38,59
2020-12-14 07:18:38,59
2020-12-14 07:23:38,58
2020-12-14 07:28:38,59
2020-12-14 07:33:38,59
2020-12-14 23:27:59,77
2020-12-14 23:32:59,76
2020-12-14 23:37:59,76
2020-12-14 23:42:59,74
2020-12-14 23:47:59,74
2020-12-14 23:52:59,76
2020-12-14 23:57:59,75
