Timestamp,HeartRate
2020-10-19 01:09:26,81
2020-10-19 01:14:26,82
2020-10-19 01:19:26,83
2020-10-19 01:24:26,83
2020-10-19 01:29:26,82
2020-10-19 01:34:26,82
2020-10-19 01:39:26,81
2020-10-19 01:49:26,79
2020-10-19 01:54:26,77
2020-10-19 01:59:26,77
2020-10-19 02:04:26,76
2020-10-19 02:09:26,76
2020-10-19 02:14:26,76
2020-10-19 02:19:26,75
2020-10-19 02:24:26,74
2020-10-19 02:29:26,76
2020-10-19 02:34:26,73
2020-10-19 02:39:26,77
2020-10-19 02:44:26,76
2020-10-19 02:49:26,74
2020-10-19 02:54:26,71
2020-10-19 02:59:26,73
2020-10-19 03:04:26,67
2020-10-19 03:09:26,71
2020-10-19 03:14:26,68
2020-10-19 03:19:26,70
2020-10-19 03:24:26,71
2020-10-19 03:29:26,74
2020-10-19 03:34:26,78
2020-10-19 03:39:26,82
2020-10-19 03:44:26,79
2020-10-19 03:49:26,76
2020-10-19 03:54:26,74
2020-10-19 03:59:26,74
2020-10-19 04:04:26,74
2020-10-19 04:09:26,76
2020-10-19 04:14:26,76
2020-10-19 04:19:26,76
2020-10-19 04:24:26,75
2020-10-19 04:29:26,75
2020-10-19 04:34:26,75
2020-10-19 04:39:26,77
2020-10-19 04:44:26,75
2020-10-19 04:49:26,75
2020-10-19 04:54:26,73
2020-10-19 04:59:26,75
2020-10-19 05:04:26,76
2020-10-19 05:09:26,76
2020-10-19 05:14:26,77
2020-10-19 05:19:26,75
2020-10-19 05:24:26,75
2020-10-19 05:29:26,75
2020-10-19 05:34:26,76
2020-10-19 05:39:26,73
2020-10-19 05:44:26,72
2020-10-19 05:49:26,71
2020-10-19 06:24:26,69
2020-10-19 06:29:26,70
2020-10-19 06:34:26,69
2020-10-19 06:39:26,70
2020-10-19 06:44:26,70
2020-10-19 06:49:26,70
2020-10-19 06:54:26,71
2020-10-19 06:59:26,72
2020-10-19 07:04:26,70
2020-10-19 07:09:26,70
2020-10-19 07:14:26,67
2020-10-19 07:19:26,67
2020-10-19 07:24:26,65
2020-10-19 07:29:26,69
2020-10-19 07:34:26,63
2020-10-19 07:39:26,68
2020-10-19 07:44:26,68
2020-10-19 07:49:26,64
2020-10-19 07:54:26,66
2020-10-19 07:59:26,69
2020-10-19 08:04:26,69
2020-10-19 08:09:26,68
2020-10-19 08:14:26,69
2020-10-19 08:19:26,68
2020-10-19 08:24:26,67
2020-10-19 08:29:26,68
2020-10-19 08:34:26,68
2020-10-19 08:39:26,71
2020-10-19 08:44:26,65
2020-10-19 08:49:26,62
2020-10-19 08:54:26,62
2020-10-19 08:59:26,61
2020-10-19 09:04:26,63
2020-10-19 09:09:26,64
2020-10-19 09:14:26,64
2020-10-19 09:19:26,63
2020-10-19 09:24:26,63
2020-10-19 09:29:26,63
2020-10-19 09:34:26,63
2020-10-19 09:39:26,63
2020-10-19 09:44:26,62
2020-10-19 09:49:26,67
2020-10-19 09:54:26,64
